idx,image_path,gt_label,pred_label,pred_conf,saved_png
1110,C:\Users\umaim\Downloads\archive\Structured\data\test\laughing\Image_12058.jpg,laughing,using_laptop,0.9999,failure_cases_resnet\fail_000_laughing_pred-using_laptop_1.00.png
48,C:\Users\umaim\Downloads\archive\Structured\data\test\calling\Image_11575.jpg,calling,listening_to_music,0.9998,failure_cases_resnet\fail_001_calling_pred-listening_to_music_1.00.png
1507,C:\Users\umaim\Downloads\archive\Structured\data\test\sitting\Image_12518.jpg,sitting,sleeping,0.9993,failure_cases_resnet\fail_002_sitting_pred-sleeping_1.00.png
1465,C:\Users\umaim\Downloads\archive\Structured\data\test\sitting\Image_11865.jpg,sitting,using_laptop,0.9991,failure_cases_resnet\fail_003_sitting_pred-using_laptop_1.00.png
1792,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11073.jpg,using_laptop,sitting,0.9989,failure_cases_resnet\fail_004_using_laptop_pred-sitting_1.00.png
1396,C:\Users\umaim\Downloads\archive\Structured\data\test\sitting\Image_10731.jpg,sitting,eating,0.9976,failure_cases_resnet\fail_005_sitting_pred-eating_1.00.png
1518,C:\Users\umaim\Downloads\archive\Structured\data\test\sleeping\Image_10676.jpg,sleeping,using_laptop,0.9975,failure_cases_resnet\fail_006_sleeping_pred-using_laptop_1.00.png
1872,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_12212.jpg,using_laptop,listening_to_music,0.9964,failure_cases_resnet\fail_007_using_laptop_pred-listening_to_music_1.00.png
1691,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_11591.jpg,texting,laughing,0.9963,failure_cases_resnet\fail_008_texting_pred-laughing_1.00.png
1712,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_11796.jpg,texting,sitting,0.9961,failure_cases_resnet\fail_009_texting_pred-sitting_1.00.png
205,C:\Users\umaim\Downloads\archive\Structured\data\test\clapping\Image_11826.jpg,clapping,using_laptop,0.9959,failure_cases_resnet\fail_010_clapping_pred-using_laptop_1.00.png
64,C:\Users\umaim\Downloads\archive\Structured\data\test\calling\Image_11754.jpg,calling,laughing,0.9958,failure_cases_resnet\fail_011_calling_pred-laughing_1.00.png
937,C:\Users\umaim\Downloads\archive\Structured\data\test\hugging\Image_11292.jpg,hugging,laughing,0.9953,failure_cases_resnet\fail_012_hugging_pred-laughing_1.00.png
1353,C:\Users\umaim\Downloads\archive\Structured\data\test\running\Image_12181.jpg,running,fighting,0.9937,failure_cases_resnet\fail_013_running_pred-fighting_0.99.png
615,C:\Users\umaim\Downloads\archive\Structured\data\test\drinking\Image_12389.jpg,drinking,eating,0.9927,failure_cases_resnet\fail_014_drinking_pred-eating_0.99.png
1852,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11905.jpg,using_laptop,listening_to_music,0.9923,failure_cases_resnet\fail_015_using_laptop_pred-listening_to_music_0.99.png
1850,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11893.jpg,using_laptop,hugging,0.9905,failure_cases_resnet\fail_016_using_laptop_pred-hugging_0.99.png
754,C:\Users\umaim\Downloads\archive\Structured\data\test\eating\Image_12578.jpg,eating,drinking,0.9882,failure_cases_resnet\fail_017_eating_pred-drinking_0.99.png
1247,C:\Users\umaim\Downloads\archive\Structured\data\test\listening_to_music\Image_12443.jpg,listening_to_music,calling,0.9873,failure_cases_resnet\fail_018_listening_to_music_pred-calling_0.99.png
1695,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_11610.jpg,texting,calling,0.9865,failure_cases_resnet\fail_019_texting_pred-calling_0.99.png
1293,C:\Users\umaim\Downloads\archive\Structured\data\test\running\Image_11315.jpg,running,fighting,0.9863,failure_cases_resnet\fail_020_running_pred-fighting_0.99.png
1744,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_12326.jpg,texting,sitting,0.9863,failure_cases_resnet\fail_021_texting_pred-sitting_0.99.png
