epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,1.8718,39.88,2.0288,38.75,0.000989,91.70
2,1.5377,50.45,1.7364,46.78,0.000957,29.01
3,1.3836,55.71,1.7251,47.62,0.000905,28.64
4,1.2685,59.55,1.5262,50.14,0.000835,39.17
5,1.1436,63.71,1.5083,56.49,0.000750,39.58
6,1.0550,66.06,1.3605,59.85,0.000655,27.97
7,0.9253,70.52,1.2030,62.09,0.000552,29.75
8,0.8331,73.31,1.3537,60.41,0.000448,30.58
9,0.7270,76.73,1.2024,63.49,0.000345,29.83
10,0.6341,79.72,1.1486,64.89,0.000250,30.28
11,0.5533,82.31,1.0984,66.20,0.000165,29.59
12,0.4645,85.37,1.1195,65.08,0.000095,28.89
13,0.4021,87.35,1.0387,71.43,0.000043,29.27
14,0.3727,88.19,1.0382,68.63,0.000011,29.84
15,0.3496,88.63,0.9847,72.08,0.000000,30.04
