epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,1.1629,64.18,0.8742,71.34,0.000049,166.68
2,0.7120,77.64,0.7544,76.84,0.000048,171.20
3,0.5656,81.69,0.7261,76.56,0.000045,170.95
4,0.4752,84.86,0.7087,77.59,0.000042,141.84
5,0.3702,88.25,0.7533,76.75,0.000038,148.81
6,0.3009,90.61,0.7232,78.80,0.000033,169.78
7,0.2325,92.68,0.7384,78.71,0.000028,165.60
8,0.1840,94.38,0.7459,79.37,0.000022,169.33
9,0.1439,95.57,0.7333,79.37,0.000017,153.12
10,0.1086,96.78,0.7716,79.65,0.000013,146.95
11,0.0902,97.30,0.7428,79.83,0.000008,121.97
12,0.0726,97.98,0.7010,80.02,0.000005,120.53
13,0.0585,98.40,0.7304,81.23,0.000002,119.29
14,0.0528,98.55,0.7366,81.23,0.000001,119.65
15,0.0440,98.86,0.7397,80.21,0.000000,119.83
